"Timestamp","What is your age group?","You are a(n)","How often do you procrastinate?","When do you usualy start your tasks?","What are your main reasons for procrastinating","What distracts you the most from your tasks?","How many hours do you spend on your phone?","How would you rate the quality of your work when completed last minute?","How would you rate your overall academic/work performance?  ","does procrastinating affect your preformance"
"2026/04/04 5:00:19 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.)","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/04 5:07:03 pm EET","18-21","Student","Sometimes","A few days after its announced","Distractions (social media, games,etc.)","Social Media","Less than 2 hours","2","2","Yes, negatively"
"2026/04/04 5:11:41 pm EET","18-21","Student","Always","A day before the due date","Lack of motivation","Social Media","4-7 hours","3","2","Yes, negatively"
"2026/04/04 5:12:26 pm EET","below 18","Student","Often","A few days after its announced","Distractions (social media, games,etc.);Poor time mangement","Social Media","8+ hours","2","2","Yes, negatively"
"2026/04/04 5:21:39 pm EET","18-21","Student","Always","A day before the due date","Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/04 5:55:47 pm EET","18-21","Student","Often","A day before the due date","Distractions (social media, games,etc.)","Social Media","2-4 hours","5","5","Yes, negatively"
"2026/04/04 6:00:05 pm EET","18-21","Employee","Rarely","A day before the due date","Poor time mangement","Social Media","2-4 hours","4","1","Not sure"
"2026/04/04 6:02:09 pm EET","18-21","Student","Often","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Social Media","2-4 hours","4","3","Yes, positively"
"2026/04/04 6:05:10 pm EET","below 18","Student","Sometimes","A day before the due date","Poor time mangement","Games","4-7 hours","1","1","Yes, positively"
"2026/04/04 6:05:26 pm EET","21-25","Employee","Never","Once its announced","Lack of motivation","Friends/Family","4-7 hours","2","3","Not sure"
"2026/04/04 6:15:10 pm EET","21-25","Student","Sometimes","A day before the due date","Lack of motivation;Feeling overwhelmed","Social Media","2-4 hours","4","4","Not sure"
"2026/04/04 6:24:46 pm EET","below 18","Student","Always","A day before the due date","Lack of motivation;Distractions (social media, games,etc.)","Social Media","8+ hours","3","3","Yes, negatively"
"2026/04/04 6:59:48 pm EET","18-21","Student","Sometimes","A day before the due date","Distractions (social media, games,etc.)","Social Media","8+ hours","2","2","Not sure"
